#
url;https://www.worten.es/productos/moviles-smartphones/smartphones/smartphone-wiko-y60-5-45-1-gb-16-gb-bleen-6899420
#
imagen;https://www.worten.es//i/fbba2a7adb6b421aae1a577f1131a6ef959dd017.jpg
nombre;Smartphone BLACK SHARK 2 Pro Kit (6.39'' - 12 GB - 256 GB - Plata)
precio;619,00
Sistema operativo;Android
Versión del sistema operativo;9
Procesador;Snapdragon 855
Núcleos;Octa-Core
Velocidad del procesador;2.84 GHz
Tarjetas;SIM1 + SIM2
Radio;No
Diagonal de la pantalla;6.39
Tecnología de la pantalla;Amoled
Resolución de la pantalla;Full HD+
Tipo de red;4G
Bluetooth;Sí
Función GPS;Sí
Número de cámaras traseras;2
Número de cámaras frontales;1
Resolución de la cámara trasera;48 + 12MP
Resolución de la cámara frontal;20 MP
Flash integrado;Sí
Grabación de vídeo;2160p@30fps
Sensores;Giroscopio | Geomagnético | Acelerómetro | Sensor de distancia |  Sensor de luz ambiente
Sensor de huellas dactilares;Sí
Inteligencia artificial;Sí
Reconocimiento facial;Sí
Referencia;7056701
EAN;4897104550045
Marca;BLACK SHARK
Modelo;Black Shark 2
Garantía;2 años
Color;Frozen Silver
Peso;205 g
Altura;16.4
Ancho;7.5
Profundidad;0.88
RAM;12 GB
Memoria interna;256 GB
Memoria externa;No
Potencia de la batería;4000 mAh
Entrada del cargador;USB-C
Contenido extra incluido en la caja;Cargador | Cable USB-C | Pro Kit: Funda protectora deslizante + + Gamepad lado izquierdo + Gamepad lado derecho
url;https://www.worten.es/productos/moviles-smartphones/smartphones/smartphone-black-shark-2-pro-kit-6-39-12-gb-256-gb-plata-7056701
#
imagen;https://www.worten.es//i/7cf443771812d816474d78082d4985cd4d81f3be.jpg
nombre;Smartphone BLACK SHARK 2 Pro (6.39'' - 12 GB - 256 GB - Gris)
precio;649,00
Sistema operativo;Android
Versión del sistema operativo;9
Procesador;Snapdragon 855+
Núcleos;Octa-Core
Velocidad del procesador;2.96 GHz
Radio;No
Diagonal de la pantalla;6.39
Resolución de la pantalla;Full HD+
Tipo de red;4G
Bluetooth;Sí
Función GPS;Sí
Número de cámaras traseras;2
Número de cámaras frontales;1
Resolución de la cámara trasera;48 + 12MP
Resolución de la cámara frontal;20 MP
Flash integrado;Sí
Grabación de vídeo;4K @60fps
Sensores;Giroscopio | Acelerómetro | Sensor de distancia | Brújula electrónica | Sensor de luz ambiente
Sensor de huellas dactilares;Sí
Inteligencia artificial;Sí
Reconocimiento facial;Sí
Referencia;7056706
EAN;6971409202316
Marca;BLACK SHARK
Modelo;Black Shark 2 Pro
Garantía;2 años
Color;Iceberg Grey
Peso;205 g
Altura;16.4
Ancho;7.5
Profundidad;0.88
RAM;12 GB
Memoria interna;256 GB
Memoria externa;No
Potencia de la batería;4000 mAh
Entrada del cargador;USB-C
Contenido extra incluido en la caja;Adaptador carga rápida, cable USB-C
Más información;Refrigeración líquida 3.0+
url;https://www.worten.es/productos/moviles-smartphones/smartphones/smartphone-black-shark-2-pro-6-39-12-gb-256-gb-gris-7056706
#
imagen;https://www.worten.es//i/e53adc645bda7b27dbeae60521e872780a55146a.jpg
nombre;Smartphone XIAOMI Mi A3 (6.08'' - 4 GB - 128 GB - Azul)
precio;279,99
Sistema operativo;Android
Versión del sistema operativo;One
Procesador;Kryo 260
Núcleos;Octa-Core
Velocidad del procesador;2.0 GHz
Tarjetas;SIM1 + SIM2 o SD
Radio;Sí
Diagonal de la pantalla;6.08
Tecnología de la pantalla;Amoled
Resolución de la pantalla;HD+
Tipo de red;4G
Bluetooth;Sí
Función GPS;Sí
Número de cámaras traseras;3
Número de cámaras frontales;1
Resolución de la cámara trasera;48 + 8 + 2MP
Resolución de la cámara frontal;32 MP
Flash integrado;Sí
Grabación de vídeo;4K video, 30fps
Sensores;Giroscopio | Acelerómetro | Sensor de distancia | Brújula electrónica | Sensor de luz ambiente | Motor vibrador | Infrarrojos
Sensor de huellas dactilares;Sí
Inteligencia artificial;Sí
Reconocimiento facial;Sí
Referencia;6998218
EAN;6941059626305
Marca;XIAOMI
Modelo;Mi A3
Garantía;2 años
Color;Azul
Peso;173.8g
Altura;15.3
Ancho;7.2
Profundidad;0.84
RAM;4 GB
Memoria interna;128 GB
Memoria externa;256GB
Potencia de la batería;4030 mAh
Entrada del cargador;USB-C
url;https://www.worten.es/productos/moviles-smartphones/smartphones/smartphone-xiaomi-mi-a3-6-08-4-gb-128-gb-azul-6998218
#
imagen;https://www.worten.es//i/f968d374636e0728f57b35f53d0bf1ac194da3f2.jpg
nombre;Smartphone XIAOMI Redmi Note 8T (6.3'' - 4 GB - 64 GB - Blanco)
precio;199,00
Sistema operativo;Android
Versión del sistema operativo;9
Procesador;Snapdragon 665
Núcleos;Octa-Core
Velocidad del procesador;2.0GHz
