almacenamiento,imagen,nombre,precio,ram,sistemaOperativo,url
Sí,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-81974238/fee_325_225_png/Smartwatch---Huawei-Watch-GT--46-mm--Sport--Naranja, Smartwatch - Huawei Watch GT,99,1,ARM Cortex-M4,https://www.mediamarkt.es/es/product/_smartwatch-huawei-watch-gt-46-mm-sport-naranja-1461365.html
2 x 8 W,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-73844106/fee_325_225_png/Altavoz-inal%C3%A1mbrico---JBL-Flip-4--16W--Bluetooth--Negro, Altavoz inalámbrico - JBL Flip 4,79,1,Bluetooth,https://www.mediamarkt.es/es/product/_altavoz-inal%C3%A1mbrico-jbl-flip-4-16w-bluetooth-negro-1363926.html
Sí,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_70950571/fee_325_225_png/M%C3%B3vil---LG-K40s--Azul--32-GB--2-GB-RAM--6.1%22-HD---3500-mAh--Android, Móvil - LG K40s,139,2,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-lg-k40s-azul-32-gb-2-gb-ram-6-1-hd-3500-mah-android-1466283.html
Sí,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-80660082/fee_325_225_png/Smartwatch---Samsung-Galaxy-Watch-Active--1.1%22-AMOLED--HR--GPS--Bluetooth--Wi-Fi--NFC--Oro-rosa, Smartwatch - Samsung Galaxy Watch Active,219,S,Exynos 9110,https://www.mediamarkt.es/es/product/_smartwatch-samsung-galaxy-watch-active-1-1-amoled-hr-gps-bluetooth-wi-fi-nfc-oro-rosa-1448234.html
64,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-77481487/fee_325_225_png/REACONDICIONADO-M%C3%B3vil---Motorola-G6-Plus--Azul-%C3%ADndigo--64-GB--4-GB-RAM--5.7%22--Snapdragon-630--3200mAh--Android, REACONDICIONADO Móvil - Motorola G6 Plus,172,1,Android,https://www.mediamarkt.es/es/product/_reacondicionado-m%C3%B3vil-motorola-g6-plus-azul-%C3%ADndigo-64-gb-4-gb-ram-5-7-snapdragon-630-3200mah-android-1463894.html
256,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_71702325/fee_325_225_png/REESTRENA-Reacondicionado-Apple-iPhone-X--Plata--256-GB--3-GB-RAM--5.8%22-OLED-Super-Retina-HD--Chip-A11-Bionic, REESTRENA Reacondicionado Apple iPhone X,649,3,iOS,https://www.mediamarkt.es/es/product/_reestrena-reacondicionado-apple-iphone-x-plata-256-gb-3-gb-ram-5-8-oled-super-retina-hd-chip-a11-bionic-1471497.html
128,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-79178753/fee_325_225_png/M%C3%B3vil---Oppo-R15-Pro--Plata--128-GB--6-GB-RAM--6.28%22--Snapdragon-660--3430-mAh--Android, Móvil - Oppo R15 Pro,349,2,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-oppo-r15-pro-plata-128-gb-6-gb-ram-6-28-snapdragon-660-3430-mah-android-1426486.html
16,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_71705752/fee_325_225_png/M%C3%B3vil---Hammer-Energy--Negro--16-GB--2-GB-RAM--5%22-HD--MTK6737--5000-mAh--Android, Móvil - Hammer Energy,229.99,2,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-hammer-energy-negro-16-gb-2-gb-ram-5-hd-mtk6737-5000-mah-android-1470519.html
16,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_71692030/fee_325_225_png/M%C3%B3vil---Hammer-Energy--Negro--16-GB--16-GB-RAM--5%22-HD--Android, Móvil - Hammer Energy,159.99,1,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-hammer-energy-negro-16-gb-16-gb-ram-5-hd-android-1470518.html
128,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_71684618/fee_325_225_png/Apple-iPhone-XR--Azul--128-GB--3-GB-RAM--6.1%22-Liquid-Retina-HD--Chip-A12-Bionic--iOS, Apple iPhone XR,759,3,iOS,https://www.mediamarkt.es/es/product/_apple-iphone-xr-azul-128-gb-3-gb-ram-6-1-liquid-retina-hd-chip-a12-bionic-ios-1433021.html
256,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-81567442/fee_325_225_png/M%C3%B3vil---Huawei-P30-Pro--Negro--256-GB--8-GB-RAM--6.47%22-Full-HD---Kirin-980--4200-mAh--Android, Móvil - Huawei P30 Pro,749,8,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-huawei-p30-pro-negro-256-gb-8-gb-ram-6-47-full-hd-kirin-980-4200-mah-android-1448888.html
256,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-81988391/fee_325_225_png/M%C3%B3vil---Samsung-Galaxy-Note-10--Negro--256-GB--8-GB-RAM--6.3%22-Full-HD---Exynos-9825--3500-mAh--Android, Móvil - Samsung Galaxy Note 10,849,8,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-samsung-galaxy-note-10-negro-256-gb-8-gb-ram-6-3-full-hd-exynos-9825-3500-mah-android-1461516.html
64,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_73025283/fee_325_225_png/REESTRENA-Reacondicionado-Apple-iPhone-X--Plata--64-GB--3-GB-RAM--5.8%22-OLED-Super-Retina-HD--Chip-A11--iOS, REESTRENA Reacondicionado Apple iPhone X,599,3,iOS,https://www.mediamarkt.es/es/product/_reestrena-reacondicionado-apple-iphone-x-plata-64-gb-3-gb-ram-5-8-oled-super-retina-hd-chip-a11-ios-1473445.html
128,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_69592767/fee_325_225_png/M%C3%B3vil---Honor-View-20--Negro--128-GB--6-GB-RAM--6.4%22-Ultra-HD-4K--Kirin-980--4000-mAh--Android, Móvil - Honor View 20,399,6,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-honor-view-20-negro-128-gb-6-gb-ram-6-4-ultra-hd-4k-kirin-980-4000-mah-android-1466008.html
512,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_71266034/fee_325_225_png/M%C3%B3vil---Samsung-Galaxy-Fold--Plata--512-GB--12-GB-RAM--7.1%22-QXGA---Snapdragon-855--4380-mAh--Android, Móvil - Samsung Galaxy Fold,2020,1,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-samsung-galaxy-fold-plata-512-gb-12-gb-ram-7-1-qxga-snapdragon-855-4380-mah-android-1470464.html
512,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_71266026/fee_325_225_png/M%C3%B3vil---Samsung-Galaxy-Fold--Negro--512-GB--12-GB-RAM--7.1%22-QXGA---Snapdragon-855--4380-mAh--Android, Móvil - Samsung Galaxy Fold,2020,1,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-samsung-galaxy-fold-negro-512-gb-12-gb-ram-7-1-qxga-snapdragon-855-4380-mah-android-1470463.html
Sí,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_71880807/fee_325_225_png/M%C3%B3vil---Samsung-Galaxy-S10-Lite--Blanco--128-GB--8-GB-RAM--6.7%22-Full-HD---Octa-Core--Android, Móvil - Samsung Galaxy S10 Lite,659,5,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-samsung-galaxy-s10-lite-blanco-128-gb-8-gb-ram-6-7-full-hd-octa-core-android-1471714.html
Sí,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_71879848/fee_325_225_png/M%C3%B3vil---Samsung-Galaxy-S10-Lite--Negro--128-GB--8-GB-RAM--6.7%22-Full-HD---Octa-Core--4500-mAh--Android, Móvil - Samsung Galaxy S10 Lite,659,5,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-samsung-galaxy-s10-lite-negro-128-gb-8-gb-ram-6-7-full-hd-octa-core-4500-mah-android-1471713.html
256,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_71702346/fee_325_225_png/REESTRENA-Reacondicionado-Apple-iPhone-7--Rosa--256-GB--2-GB-RAM--4.7%22-Retina-HD--Chip-A10-Fusion--iOS, REESTRENA Reacondicionado Apple iPhone 7,319,2,iOS,https://www.mediamarkt.es/es/product/_reestrena-reacondicionado-apple-iphone-7-rosa-256-gb-2-gb-ram-4-7-retina-hd-chip-a10-fusion-ios-1471486.html
Sí,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_73749252/fee_325_225_png/M%C3%B3vil---Motorola-MOTO-G8-Power--Negro--64-GB--4-GB--6.4%22-Full-HD---Qualcomm-Snapdragon--5000-mAh--Android, Móvil - Motorola MOTO G8 Power,249,5,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-motorola-moto-g8-power-negro-64-gb-4-gb-6-4-full-hd-qualcomm-snapdragon-5000-mah-android-1472268.html
128,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-82229143/fee_325_225_png/M%C3%B3vil---Motorola-One-Vision--Azul--128-GB--4-GB-RAM--6.34%22-Full-HD---Samsung-Exynos-9609--3500-mAh--Android, Móvil - Motorola One Vision,259,4,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-motorola-one-vision-azul-128-gb-4-gb-ram-6-34-full-hd-samsung-exynos-9609-3500-mah-android-1454826.html
16,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_71210862/fee_325_225_png/M%C3%B3vil---Honor-7S--Negro--16-GB--2-GB-RAM--5.45%22-HD--Quad-Core--3020-mAh--Android, Móvil - Honor 7S,85,2,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-honor-7s-negro-16-gb-2-gb-ram-5-45-hd-quad-core-3020-mah-android-1469031.html
64,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-80596263/fee_325_225_png/M%C3%B3vil---Sony-Xperia-10-Plus--Oro--64-GB--4-GB-RAM--6.5%22-HD--Snapdragon-636--3000-mAh--Android, Móvil - Sony Xperia 10 Plus,399,4,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-sony-xperia-10-plus-oro-64-gb-4-gb-ram-6-5-hd-snapdragon-636-3000-mah-android-1447334.html
128,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-79342580/fee_325_225_png/Apple-iPhone-XR--Coral--128-GB--3-GB-RAM--6.1%22-Liquid-Retina-HD--Chip-A12-Bionic--iOS, Apple iPhone XR,759,3,iOS,https://www.mediamarkt.es/es/product/_apple-iphone-xr-coral-128-gb-3-gb-ram-6-1-liquid-retina-hd-chip-a12-bionic-ios-1433020.html
